"","unique_id","Species_standardised","Reference","Trait_value","Temperature","T_pk","B0_value","E_value","ED_value"
"94","Alexandrium tamarense-:-Langdon (1988)-:- 43.940-:- -68.730","Alexandrium tamarense","Langdon (1988)",0,25,293.15,0.145561,0.508021577661086,1.01604315532217
"95","Alexandrium tamarense-:-Watras et al. (1982)-:- 41.790-:- -69.950","Alexandrium tamarense","Watras et al. (1982)",0.073,5.5,295.65,0.007,0.922800460442709,1.84560092088542
"96","Alexandrium tamarense-:-Watras et al. (1982)-:- 41.790-:- -69.950","Alexandrium tamarense","Watras et al. (1982)",0.095,8.5,295.65,0.007,0.922800460442709,1.84560092088542
"97","Alexandrium tamarense-:-Watras et al. (1982)-:- 41.790-:- -69.950","Alexandrium tamarense","Watras et al. (1982)",0.189,10.5,295.65,0.007,0.922800460442709,1.84560092088542
"98","Alexandrium tamarense-:-Watras et al. (1982)-:- 41.790-:- -69.950","Alexandrium tamarense","Watras et al. (1982)",0.271,13,295.65,0.007,0.922800460442709,1.84560092088542
"99","Alexandrium tamarense-:-Watras et al. (1982)-:- 41.790-:- -69.950","Alexandrium tamarense","Watras et al. (1982)",0.277,16,295.65,0.007,0.922800460442709,1.84560092088542
"100","Alexandrium tamarense-:-Watras et al. (1982)-:- 41.790-:- -69.950","Alexandrium tamarense","Watras et al. (1982)",0.317,18,295.65,0.007,0.922800460442709,1.84560092088542
"101","Alexandrium tamarense-:-Watras et al. (1982)-:- 41.790-:- -69.950","Alexandrium tamarense","Watras et al. (1982)",0.319,20,295.65,0.007,0.922800460442709,1.84560092088542
"102","Alexandrium tamarense-:-Watras et al. (1982)-:- 41.790-:- -69.950","Alexandrium tamarense","Watras et al. (1982)",0.278,22.5,295.65,0.007,0.922800460442709,1.84560092088542
"103","Alexandrium tamarense-:-Watras et al. (1982)-:- 41.790-:- -69.950","Alexandrium tamarense","Watras et al. (1982)",0,24.5,295.65,0.007,0.922800460442709,1.84560092088542
"104","Alexandrium tamarense-:-Watras et al. (1982)-:- 41.790-:- -69.950","Alexandrium tamarense","Watras et al. (1982)",0,26.5,295.65,0.007,0.922800460442709,1.84560092088542
"105","Alexandrium tamarense-:-Watras et al. (1982)-:- 41.790-:- -69.950","Alexandrium tamarense","Watras et al. (1982)",0.007,5.5,295.65,0.007,0.922800460442709,1.84560092088542
"106","Alexandrium tamarense-:-Watras et al. (1982)-:- 41.790-:- -69.950","Alexandrium tamarense","Watras et al. (1982)",0.197,8.5,295.65,0.007,0.922800460442709,1.84560092088542
"107","Alexandrium tamarense-:-Watras et al. (1982)-:- 41.790-:- -69.950","Alexandrium tamarense","Watras et al. (1982)",0.254,10.5,295.65,0.007,0.922800460442709,1.84560092088542
"108","Alexandrium tamarense-:-Watras et al. (1982)-:- 41.790-:- -69.950","Alexandrium tamarense","Watras et al. (1982)",0.357,13,295.65,0.007,0.922800460442709,1.84560092088542
"109","Alexandrium tamarense-:-Watras et al. (1982)-:- 41.790-:- -69.950","Alexandrium tamarense","Watras et al. (1982)",0.359,16,295.65,0.007,0.922800460442709,1.84560092088542
"110","Alexandrium tamarense-:-Watras et al. (1982)-:- 41.790-:- -69.950","Alexandrium tamarense","Watras et al. (1982)",0.383,18,295.65,0.007,0.922800460442709,1.84560092088542
"111","Alexandrium tamarense-:-Watras et al. (1982)-:- 41.790-:- -69.950","Alexandrium tamarense","Watras et al. (1982)",0.417,20,295.65,0.007,0.922800460442709,1.84560092088542
"112","Alexandrium tamarense-:-Watras et al. (1982)-:- 41.790-:- -69.950","Alexandrium tamarense","Watras et al. (1982)",0.438,22.5,295.65,0.007,0.922800460442709,1.84560092088542
"113","Alexandrium tamarense-:-Watras et al. (1982)-:- 41.790-:- -69.950","Alexandrium tamarense","Watras et al. (1982)",0.135,24.5,295.65,0.007,0.922800460442709,1.84560092088542
"114","Amphidinium-:-Kitaya et al. (2008)-:-NA-:-NA","Amphidinium","Kitaya et al. (2008)",0.28,21,299.15,0.28,0.954964202124984,1.90992840424997
